"","Date","Home","Away","Final","Home_Score","Away_Score","Home_Chance","Away_Chance","Tie"
"1","2021-04-16","Houston","San Jose","False",0,0,0.413,0.356,0.231
"2","2021-04-16","Seattle","Minnesota","False",0,0,0.54,0.217,0.243
"3","2021-04-17","CF Montréal","Toronto FC","False",0,0,0.312,0.435,0.253
"4","2021-04-17","Orlando City","Atlanta","False",0,0,0.434,0.365,0.201
"5","2021-04-17","Los Angeles FC","Austin FC","False",0,0,0.662,0.161,0.177
"6","2021-04-17","FC Dallas","Colorado","False",0,0,0.513,0.26,0.227
"7","2021-04-17","NY Red Bulls","Sporting KC","False",0,0,0.42,0.347,0.233
"8","2021-04-17","D.C. United","NYCFC","False",0,0,0.328,0.425,0.247
"9","2021-04-17","Chicago","New England","False",0,0,0.403,0.307,0.29
"10","2021-04-17","Nashville","FC Cincinnati","False",0,0,0.675,0.101,0.224
"11","2021-04-18","Miami","LA Galaxy","False",0,0,0.382,0.377,0.241
"12","2021-04-18","Columbus","Philadelphia","False",0,0,0.51,0.255,0.235
"13","2021-04-18","Vancouver","Portland","False",0,0,0.234,0.534,0.232
"14","2021-04-23","Sporting KC","Orlando City","False",0,0,0.492,0.263,0.245
"15","2021-04-24","NYCFC","FC Cincinnati","False",0,0,0.778,0.063,0.159
"16","2021-04-24","Nashville","CF Montréal","False",0,0,0.5,0.279,0.221
"17","2021-04-24","Toronto FC","Vancouver","False",0,0,0.645,0.147,0.208
"18","2021-04-24","San Jose","FC Dallas","False",0,0,0.453,0.293,0.254
"19","2021-04-24","Los Angeles FC","Seattle","False",0,0,0.515,0.261,0.224
"20","2021-04-24","Minnesota","Real Salt Lake","False",0,0,0.546,0.258,0.196
"21","2021-04-24","New England","D.C. United","False",0,0,0.549,0.213,0.238
"22","2021-04-24","Philadelphia","Miami","False",0,0,0.694,0.107,0.199
"23","2021-04-24","Atlanta","Chicago","False",0,0,0.463,0.28,0.257
"24","2021-04-24","Colorado","Austin FC","False",0,0,0.553,0.243,0.204
"25","2021-04-24","Portland","Houston","False",0,0,0.579,0.215,0.206
