Date,Home_Wins,Away_Wins,Ties
4/16/2021,0,0,0
4/16/2021,0,0,0
4/17/2021,0,0,0
4/17/2021,0,0,0
4/17/2021,0,0,0
4/17/2021,0,0,0
4/17/2021,0,0,0
4/17/2021,0,0,0
4/17/2021,0,0,0
4/17/2021,0,0,0
4/18/2021,0,0,0
4/18/2021,0,0,0
4/18/2021,0,0,0
4/23/2021,0,0,0
4/24/2021,0,0,0
4/24/2021,0,0,0
4/24/2021,0,0,0
4/24/2021,0,0,0
4/24/2021,0,0,0
4/24/2021,0,0,0
4/24/2021,0,0,0
4/24/2021,0,0,0
4/24/2021,0,0,0
4/24/2021,0,0,0
4/24/2021,0,0,0
4/25/2021,0,0,0
5/1/2021,0,0,0
5/1/2021,0,0,0
5/1/2021,0,0,0
5/1/2021,0,0,0
5/1/2021,0,0,0
5/1/2021,0,0,0
5/1/2021,0,0,0
5/1/2021,0,0,0
5/1/2021,0,0,0
5/1/2021,0,0,0
5/2/2021,0,0,0
5/2/2021,0,0,0
5/2/2021,0,0,0
5/7/2021,0,0,0
5/8/2021,0,0,0
5/8/2021,0,0,0
5/8/2021,0,0,0
5/8/2021,0,0,0
5/8/2021,0,0,0
5/8/2021,0,0,0
5/8/2021,0,0,0
5/8/2021,0,0,0
5/8/2021,0,0,0
5/9/2021,0,0,0
5/9/2021,0,0,0
5/9/2021,0,0,0
5/12/2021,0,0,0
5/12/2021,0,0,0
5/12/2021,0,0,0
5/12/2021,0,0,0
5/12/2021,0,0,0
5/12/2021,0,0,0
5/13/2021,0,0,0
5/15/2021,0,0,0
5/15/2021,0,0,0
5/15/2021,0,0,0
5/15/2021,0,0,0
5/15/2021,0,0,0
5/15/2021,0,0,0
5/15/2021,0,0,0
5/15/2021,0,0,0
5/16/2021,0,0,0
5/16/2021,0,0,0
5/16/2021,0,0,0
5/16/2021,0,0,0
5/16/2021,0,0,0
5/22/2021,0,0,0
5/22/2021,0,0,0
5/22/2021,0,0,0
5/22/2021,0,0,0
5/22/2021,0,0,0
5/22/2021,0,0,0
5/22/2021,0,0,0
5/22/2021,0,0,0
5/22/2021,0,0,0
5/22/2021,0,0,0
5/23/2021,0,0,0
5/23/2021,0,0,0
5/23/2021,0,0,0
5/29/2021,0,0,0
5/29/2021,0,0,0
5/29/2021,0,0,0
5/29/2021,0,0,0
5/29/2021,0,0,0
5/29/2021,0,0,0
5/29/2021,0,0,0
5/29/2021,0,0,0
5/29/2021,0,0,0
5/29/2021,0,0,0
5/29/2021,0,0,0
5/29/2021,0,0,0
5/30/2021,0,0,0
6/18/2021,0,0,0
6/19/2021,0,0,0
6/19/2021,0,0,0
6/19/2021,0,0,0
6/20/2021,0,0,0
6/19/2021,0,0,0
6/19/2021,0,0,0
6/19/2021,0,0,0
6/19/2021,0,0,0
6/19/2021,0,0,0
6/19/2021,0,0,0
6/20/2021,0,0,0
6/20/2021,0,0,0
6/22/2021,0,0,0
6/23/2021,0,0,0
6/23/2021,0,0,0
6/24/2021,0,0,0
6/23/2021,0,0,0
6/23/2021,0,0,0
6/23/2021,0,0,0
6/23/2021,0,0,0
6/23/2021,0,0,0
6/23/2021,0,0,0
6/23/2021,0,0,0
6/23/2021,0,0,0
6/23/2021,0,0,0
6/25/2021,0,0,0
6/26/2021,0,0,0
6/26/2021,0,0,0
6/26/2021,0,0,0
6/26/2021,0,0,0
6/26/2021,0,0,0
6/26/2021,0,0,0
6/26/2021,0,0,0
6/26/2021,0,0,0
6/27/2021,0,0,0
6/27/2021,0,0,0
6/27/2021,0,0,0
6/27/2021,0,0,0
7/3/2021,0,0,0
7/3/2021,0,0,0
7/3/2021,0,0,0
7/3/2021,0,0,0
7/3/2021,0,0,0
7/3/2021,0,0,0
7/3/2021,0,0,0
7/3/2021,0,0,0
7/3/2021,0,0,0
7/4/2021,0,0,0
7/4/2021,0,0,0
7/4/2021,0,0,0
7/5/2021,0,0,0
7/7/2021,0,0,0
7/7/2021,0,0,0
