"","Home_Wins","Away_Wins","Ties"
"1",6650,4899,3451
"2",8724,2845,3431
"3",4961,6606,3433
"4",6703,5144,3153
"5",9792,2356,2852
"6",7668,4096,3236
"7",6241,5210,3549
"8",4696,6481,3823
"9",6063,4726,4211
"10",10183,1826,2991
"11",5614,5835,3551
"12",7713,3749,3538
"13",3772,7736,3492
"14",7444,3906,3650
"15",11676,1149,2175
"16",7304,4323,3373
"17",10095,2093,2812
"18",6309,4623,4068
"19",7395,3941,3664
"20",8299,3621,3080
"21",8090,3407,3503
"22",10230,1589,3181
"23",7192,4173,3635
"24",8268,3372,3360
"25",8847,3340,2813
"26",5357,6032,3611
"27",7094,4143,3763
"28",5540,5968,3492
"29",4880,6689,3431
"30",4254,7754,2992
"31",7066,4731,3203
"32",11141,1442,2417
"33",7381,3911,3708
"34",5252,5808,3940
"35",8427,3138,3435
"36",7229,4183,3588
"37",8384,2706,3910
"38",8088,3951,2961
"39",6229,5589,3182
"40",6491,5086,3423
"41",5282,6195,3523
"42",6364,4822,3814
"43",6448,4195,4357
"44",8483,2980,3537
"45",6875,4777,3348
"46",7850,4072,3078
"47",5622,5553,3825
"48",4571,7288,3141
"49",6663,4609,3728
"50",4583,7052,3365
"51",7103,4114,3783
"52",7931,3614,3455
"53",6322,5136,3542
"54",6633,4354,4013
"55",8288,2740,3972
"56",5591,5890,3519
"57",9259,2606,3135
"58",4359,7183,3458
"59",5884,5361,3755
"60",7943,3460,3597
"61",6925,4541,3534
"62",7839,4052,3109
"63",6551,5076,3373
"64",7581,3445,3974
"65",8161,4000,2839
"66",5206,4950,4844
"67",4883,6610,3507
"68",8679,3067,3254
"69",4642,5904,4454
"70",6214,4599,4187
"71",6056,5067,3877
"72",6269,5478,3253
"73",8852,2502,3646
"74",7612,4307,3081
"75",8491,2839,3670
"76",6304,4786,3910
"77",6975,3997,4028
"78",8117,3781,3102
"79",5779,5730,3491
"80",7615,3918,3467
"81",6074,5564,3362
"82",9650,2607,2743
"83",8413,3630,2957
"84",4771,6503,3726
"85",7432,3834,3734
"86",5693,5317,3990
"87",7430,4245,3325
"88",7519,3648,3833
"89",2318,9297,3385
"90",7568,3518,3914
"91",6671,3540,4789
"92",9936,2108,2956
"93",8298,3346,3356
"94",6438,5132,3430
"95",7562,4403,3035
"96",7087,3947,3966
"97",5483,5883,3634
"98",6304,4975,3721
"99",7599,4047,3354
"100",8914,2674,3412
"101",8597,2778,3625
"102",2506,9276,3218
"103",7112,3143,4745
"104",7533,3488,3979
"105",6457,4750,3793
"106",7213,4361,3426
"107",7950,3818,3232
"108",5148,6425,3427
"109",9615,2912,2473
"110",6421,5238,3341
"111",8337,2827,3836
"112",8076,3691,3233
"113",5742,5710,3548
"114",6840,4083,4077
"115",8049,3950,3001
"116",8472,3096,3432
"117",10548,1681,2771
"118",5547,5512,3941
"119",5051,6641,3308
"120",7631,4256,3113
"121",5771,5013,4216
"122",9625,2605,2770
"123",6161,5398,3441
"124",9287,2306,3407
"125",5403,5671,3926
"126",4789,6988,3223
"127",11412,1272,2316
"128",6625,5126,3249
"129",5364,6015,3621
"130",7175,4421,3404
"131",10758,1589,2653
"132",6740,4940,3320
"133",8110,3461,3429
"134",5686,5666,3648
"135",8964,2779,3257
"136",4846,6270,3884
"137",6698,4102,4200
"138",8281,2657,4062
"139",5227,6020,3753
"140",7021,3782,4197
"141",5530,5958,3512
"142",5968,5819,3213
"143",8518,3327,3155
"144",9793,2049,3158
"145",4032,7917,3051
"146",4639,6655,3706
"147",9276,2625,3099
"148",5047,6316,3637
"149",5805,5740,3455
"150",5330,5943,3727
"151",6728,4405,3867
"152",4649,6893,3458
"153",2128,9567,3305
"154",6809,4821,3370
"155",6837,4320,3843
"156",9409,3001,2590
"157",6606,4793,3601
"158",3806,8120,3074
"159",6357,5377,3266
"160",6021,5103,3876
"161",5743,5926,3331
"162",6989,4159,3852
"163",8493,2676,3831
"164",7842,3461,3697
"165",8864,2873,3263
"166",8911,2469,3620
"167",8743,2722,3535
"168",7988,3603,3409
"169",6894,4241,3865
"170",8317,3570,3113
"171",6082,5499,3419
"172",10108,2372,2520
"173",8798,2527,3675
"174",5872,5242,3886
