Teams,Avg_Points,Avg_Goal_Diff,Make_Playoffs,Make_Semifinals,Make_Conf_Champ,Make_Cup,Win_MLS
Colorado,0,0,0,0,0,0,0
Columbus,0,0,0,0,0,0,0
D.C. United,0,0,0,0,0,0,0
FC Dallas,0,0,0,0,0,0,0
Sporting KC,0,0,0,0,0,0,0
LA Galaxy,0,0,0,0,0,0,0
New England,0,0,0,0,0,0,0
NY Red Bulls,0,0,0,0,0,0,0
San Jose,0,0,0,0,0,0,0
Chicago,0,0,0,0,0,0,0
Real Salt Lake,0,0,0,0,0,0,0
Houston,0,0,0,0,0,0,0
Toronto FC,0,0,0,0,0,0,0
Seattle,0,0,0,0,0,0,0
Philadelphia,0,0,0,0,0,0,0
Vancouver,0,0,0,0,0,0,0
Portland,0,0,0,0,0,0,0
CF Montréal,0,0,0,0,0,0,0
Orlando City,0,0,0,0,0,0,0
NYCFC,0,0,0,0,0,0,0
Minnesota,0,0,0,0,0,0,0
Atlanta,0,0,0,0,0,0,0
Los Angeles FC,0,0,0,0,0,0,0
FC Cincinnati,0,0,0,0,0,0,0
Miami,0,0,0,0,0,0,0
Nashville,0,0,0,0,0,0,0
Austin FC,0,0,0,0,0,0,0
