"","Year","Date","A_Elo_Before","B_Elo_Before","A_Elo_After","B_Elo_After","A_Score","B_Score","A_Home","B_Home","Weight"
"1",2017,"03/05/2017",1500,1544,1488,1556,1,2,TRUE,FALSE,20
"2",2017,"03/12/2017",1488,1487,1514,1461,6,1,FALSE,TRUE,20
"3",2017,"03/18/2017",1514,1445,1524,1435,4,0,TRUE,FALSE,20
"4",2017,"03/31/2017",1524,1593,1529,1588,0,0,FALSE,TRUE,20
"5",2017,"04/08/2017",1529,1589,1533,1585,2,2,FALSE,TRUE,20
"6",2017,"04/15/2017",1533,1508,1525,1516,1,2,FALSE,TRUE,20
"7",2017,"04/22/2017",1525,1477,1542,1460,3,1,FALSE,TRUE,20
"8",2017,"04/30/2017",1542,1465,1520,1487,1,3,TRUE,FALSE,20
"9",2017,"05/07/2017",1520,1499,1508,1511,1,3,FALSE,TRUE,20
"10",2017,"05/14/2017",1508,1533,1511,1530,1,1,FALSE,TRUE,20
"11",2017,"05/20/2017",1511,1491,1523,1479,4,1,TRUE,FALSE,20
"12",2017,"05/28/2017",1523,1528,1534,1517,3,1,TRUE,FALSE,20
"13",2017,"06/03/2017",1534,1483,1521,1496,1,3,FALSE,TRUE,20
"14",2017,"06/10/2017",1521,1506,1510,1517,0,2,FALSE,TRUE,20
"15",2017,"06/17/2017",1510,1488,1520,1478,3,1,TRUE,FALSE,20
"16",2017,"06/21/2017",1520,1436,1510,1446,1,2,FALSE,TRUE,20
"17",2017,"06/24/2017",1510,1450,1516,1444,1,0,TRUE,FALSE,20
"18",2017,"07/01/2017",1516,1493,1534,1475,2,0,FALSE,TRUE,20
"19",2017,"07/04/2017",1534,1476,1543,1467,4,2,TRUE,FALSE,20
"20",2017,"07/21/2017",1543,1471,1554,1460,1,0,FALSE,TRUE,20
"21",2017,"07/29/2017",1554,1460,1549,1465,1,1,TRUE,FALSE,20
"22",2017,"08/06/2017",1549,1552,1552,1549,1,1,FALSE,TRUE,20
"23",2017,"08/23/2017",1552,1399,1540,1411,0,1,FALSE,TRUE,20
"24",2017,"08/26/2017",1540,1452,1540,1452,2,2,FALSE,TRUE,20
"25",2017,"09/10/2017",1540,1523,1552,1511,3,0,TRUE,FALSE,20
"26",2017,"09/13/2017",1552,1488,1565,1475,7,0,TRUE,FALSE,20
"27",2017,"09/16/2017",1565,1438,1559,1444,3,3,TRUE,FALSE,20
"28",2017,"09/20/2017",1559,1431,1567,1423,4,0,TRUE,FALSE,20
"29",2017,"09/24/2017",1567,1513,1576,1504,2,0,TRUE,FALSE,20
"30",2017,"09/27/2017",1576,1472,1584,1464,3,0,TRUE,FALSE,20
"31",2017,"09/30/2017",1584,1463,1583,1464,0,0,FALSE,TRUE,20
"32",2017,"10/03/2017",1583,1437,1567,1453,2,3,TRUE,FALSE,20
"33",2017,"10/15/2017",1567,1530,1569,1528,0,0,FALSE,TRUE,20
"34",2017,"10/22/2017",1569,1656,1569,1656,2,2,TRUE,FALSE,20
"35",2017,"10/26/2017",1569,1539,1565,1543,0,0,TRUE,FALSE,25
"36",2018,"03/03/2018",1549,1495,1533,1511,0,4,FALSE,TRUE,20
"37",2018,"03/11/2018",1533,1426,1540,1419,3,1,TRUE,FALSE,20
"38",2018,"03/17/2018",1540,1529,1552,1517,4,1,TRUE,FALSE,20
