"","Year","Date","A_Elo_Before","B_Elo_Before","A_Elo_After","B_Elo_After","A_Score","B_Score","A_Home","B_Home","Weight"
"1","2012","03/10/2012","1500","1434","1486","1448","0","2","FALSE","TRUE","20"
"2","2012","03/17/2012","1486","1513","1484","1515","1","1","TRUE","FALSE","20"
"3","2012","03/24/2012","1484","1490","1473","1501","0","2","FALSE","TRUE","20"
"4","2012","03/31/2012","1473","1507","1462","1518","2","5","FALSE","TRUE","20"
"5","2012","04/04/2012","1462","1547","1457","1552","0","1","FALSE","TRUE","20"
"6","2012","04/07/2012","1457","1405","1463","1399","2","1","TRUE","FALSE","20"
"7","2012","04/14/2012","1463","1494","1457","1500","1","2","FALSE","TRUE","20"
"8","2012","04/18/2012","1457","1472","1460","1469","1","1","FALSE","TRUE","20"
"9","2012","04/28/2012","1460","1463","1471","1452","2","0","TRUE","FALSE","20"
"10","2012","05/05/2012","1471","1590","1494","1567","2","0","FALSE","TRUE","20"
"11","2012","05/12/2012","1494","1569","1493","1570","1","1","TRUE","FALSE","20"
"12","2012","05/19/2012","1493","1558","1482","1569","1","2","TRUE","FALSE","20"
"13","2012","05/26/2012","1482","1499","1475","1506","2","3","FALSE","TRUE","20"
"14","2012","06/16/2012","1475","1576","1493","1558","4","1","TRUE","FALSE","20"
"15","2012","06/20/2012","1493","1434","1484","1443","1","2","FALSE","TRUE","20"
"16","2012","06/23/2012","1484","1554","1498","1540","4","2","TRUE","FALSE","20"
"17","2012","06/27/2012","1498","1366","1470","1394","0","3","TRUE","FALSE","20"
"18","2012","06/30/2012","1470","1521","1460","1531","0","3","FALSE","TRUE","20"
"19","2012","07/04/2012","1460","1537","1444","1553","1","3","TRUE","FALSE","20"
"20","2012","07/08/2012","1444","1518","1453","1509","2","1","TRUE","FALSE","20"
"21","2012","07/14/2012","1453","1471","1446","1478","1","2","FALSE","TRUE","20"
"22","2012","07/18/2012","1446","1446","1453","1439","2","1","TRUE","FALSE","20"
"23","2012","07/21/2012","1453","1565","1445","1573","0","3","FALSE","TRUE","20"
"24","2012","07/28/2012","1445","1554","1460","1539","3","1","TRUE","FALSE","20"
"25","2012","08/04/2012","1460","1477","1471","1466","2","0","TRUE","FALSE","20"
"26","2012","08/12/2012","1471","1428","1483","1416","1","0","FALSE","TRUE","20"
"27","2012","08/18/2012","1483","1577","1498","1562","3","1","TRUE","FALSE","20"
"28","2012","08/25/2012","1498","1519","1512","1505","3","0","TRUE","FALSE","20"
"29","2012","09/01/2012","1512","1531","1505","1538","1","2","FALSE","TRUE","20"
"30","2012","09/15/2012","1505","1555","1496","1564","1","3","FALSE","TRUE","20"
"31","2012","09/22/2012","1496","1582","1496","1582","0","0","TRUE","FALSE","20"
"32","2012","10/06/2012","1496","1557","1500","1553","1","1","FALSE","TRUE","20"
"33","2012","10/20/2012","1500","1365","1499","1366","0","0","FALSE","TRUE","20"
"34","2012","10/27/2012","1499","1416","1484","1431","0","1","TRUE","FALSE","20"
"35","2013","03/02/2013","1488","1575","1503","1560","1","0","FALSE","TRUE","20"
"36","2013","03/09/2013","1503","1443","1514","1432","2","1","FALSE","TRUE","20"
"37","2013","03/16/2013","1514","1403","1519","1398","2","1","TRUE","FALSE","20"
"38","2013","03/23/2013","1519","1509","1526","1502","1","0","TRUE","FALSE","20"
"39","2013","03/30/2013","1526","1563","1517","1572","0","2","FALSE","TRUE","20"
"40","2013","04/14/2013","1517","1523","1514","1526","1","1","TRUE","FALSE","20"
"41","2013","04/27/2013","1514","1489","1524","1479","2","0","TRUE","FALSE","20"
"42","2013","05/04/2013","1524","1529","1527","1526","2","2","FALSE","TRUE","20"
"43","2013","05/08/2013","1527","1538","1520","1545","1","2","FALSE","TRUE","20"
"44","2013","05/11/2013","1520","1532","1528","1524","3","2","TRUE","FALSE","20"
"45","2013","05/25/2013","1528","1462","1536","1454","5","3","TRUE","FALSE","20"
"46","2013","06/01/2013","1536","1568","1550","1554","2","1","FALSE","TRUE","20"
"47","2013","06/15/2013","1550","1491","1537","1504","0","2","FALSE","TRUE","20"
"48","2013","06/19/2013","1537","1553","1548","1542","2","0","TRUE","FALSE","20"
"49","2013","06/29/2013","1548","1466","1533","1481","3","4","TRUE","FALSE","20"
"50","2013","07/03/2013","1533","1382","1532","1383","3","3","FALSE","TRUE","20"
"51","2013","07/07/2013","1532","1361","1525","1368","1","1","TRUE","FALSE","20"
"52","2013","07/13/2013","1525","1517","1511","1531","0","4","FALSE","TRUE","20"
"53","2013","07/20/2013","1511","1490","1508","1493","0","0","TRUE","FALSE","20"
"54","2013","07/27/2013","1508","1587","1517","1578","1","0","TRUE","FALSE","20"
"55","2013","08/03/2013","1517","1383","1501","1399","1","3","FALSE","TRUE","20"
"56","2013","08/10/2013","1501","1505","1494","1512","1","2","FALSE","TRUE","20"
"57","2013","08/17/2013","1494","1391","1499","1386","2","1","TRUE","FALSE","20"
"58","2013","08/24/2013","1499","1552","1516","1535","5","0","TRUE","FALSE","20"
"59","2013","08/31/2013","1516","1487","1518","1485","0","0","FALSE","TRUE","20"
"60","2013","09/08/2013","1518","1506","1537","1487","4","2","FALSE","TRUE","20"
"61","2013","09/14/2013","1537","1460","1522","1475","1","2","TRUE","FALSE","20"
"62","2013","09/21/2013","1522","1481","1498","1505","0","3","TRUE","FALSE","20"
"63","2013","09/28/2013","1498","1494","1501","1491","2","2","FALSE","TRUE","20"
"64","2013","10/04/2013","1501","1523","1494","1530","0","1","FALSE","TRUE","20"
"65","2013","10/12/2013","1494","1488","1481","1501","0","1","TRUE","FALSE","20"
"66","2013","10/16/2013","1481","1581","1476","1586","0","1","FALSE","TRUE","20"
"67","2013","10/19/2013","1476","1485","1483","1478","2","1","TRUE","FALSE","20"
"68","2013","10/26/2013","1483","1370","1473","1380","0","1","FALSE","TRUE","20"
"69","2013","10/31/2013","1473","1515","1460","1528","0","3","FALSE","TRUE","25"
"70","2014","03/08/2014","1470","1478","1463","1485","2","3","FALSE","TRUE","20"
"71","2014","03/15/2014","1463","1539","1458","1544","0","1","FALSE","TRUE","20"
"72","2014","03/23/2014","1458","1498","1440","1516","0","2","TRUE","FALSE","20"
"73","2014","03/29/2014","1440","1481","1444","1477","1","1","FALSE","TRUE","20"
"74","2014","04/05/2014","1444","1525","1443","1526","2","2","TRUE","FALSE","20"
"75","2014","04/12/2014","1443","1497","1442","1498","1","1","TRUE","FALSE","20"
"76","2014","04/19/2014","1442","1579","1434","1587","0","4","FALSE","TRUE","20"
"77","2014","04/26/2014","1434","1473","1442","1465","1","0","TRUE","FALSE","20"
"78","2014","05/10/2014","1442","1581","1426","1597","0","3","TRUE","FALSE","20"
"79","2014","05/17/2014","1426","1414","1428","1412","1","1","FALSE","TRUE","20"
"80","2014","05/24/2014","1428","1504","1419","1513","1","4","FALSE","TRUE","20"
