"","Year","Date","A_Elo_Before","B_Elo_Before","A_Elo_After","B_Elo_After","A_Score","B_Score","A_Home","B_Home","Weight"
"1",2020,"03/01/2020",1500,1588,1495,1593,0,1,FALSE,TRUE,20
"2",2020,"03/07/2020",1495,1486,1488,1493,1,2,FALSE,TRUE,20
"3",2020,"07/08/2020",1488,1427,1476,1439,1,2,FALSE,FALSE,20
"4",2020,"07/14/2020",1476,1525,1467,1534,1,2,FALSE,FALSE,20
"5",2020,"07/20/2020",1467,1518,1458,1527,0,1,FALSE,FALSE,20
"6",2020,"08/22/2020",1458,1503,1466,1495,3,2,TRUE,FALSE,20
"7",2020,"08/30/2020",1466,1479,1459,1486,0,1,FALSE,TRUE,20
"8",2020,"09/02/2020",1459,1533,1464,1528,0,0,FALSE,TRUE,20
"9",2020,"09/06/2020",1464,1484,1462,1486,0,0,TRUE,FALSE,20
"10",2020,"09/09/2020",1462,1531,1471,1522,2,1,TRUE,FALSE,20
"11",2020,"09/12/2020",1471,1526,1465,1532,1,2,FALSE,TRUE,20
"12",2020,"09/19/2020",1465,1510,1479,1496,2,1,FALSE,TRUE,20
"13",2020,"09/23/2020",1479,1477,1457,1499,1,4,TRUE,FALSE,20
"14",2020,"09/27/2020",1457,1590,1450,1597,0,3,FALSE,TRUE,20
"15",2020,"10/03/2020",1450,1547,1440,1557,2,3,TRUE,FALSE,20
"16",2020,"10/07/2020",1440,1500,1454,1486,2,1,FALSE,TRUE,20
"17",2020,"10/10/2020",1454,1470,1462,1462,1,0,TRUE,FALSE,20
"18",2020,"10/14/2020",1462,1498,1460,1500,1,1,TRUE,FALSE,20
"19",2020,"10/17/2020",1460,1419,1452,1427,1,2,FALSE,TRUE,20
"20",2020,"10/24/2020",1452,1562,1462,1552,2,1,TRUE,FALSE,20
"21",2020,"10/28/2020",1462,1501,1456,1507,1,2,FALSE,TRUE,20
"22",2020,"11/01/2020",1456,1578,1452,1582,1,2,FALSE,TRUE,20
"23",2020,"11/08/2020",1452,1345,1457,1340,2,1,TRUE,FALSE,20
"24",2020,"11/20/2020",1457,1519,1445,1531,0,3,FALSE,TRUE,25
