"","Year","Date","A_Elo_Before","B_Elo_Before","A_Elo_After","B_Elo_After","A_Score","B_Score","A_Home","B_Home","Weight"
"1","2018","03/04/2018","1500","1598","1515","1583","1","0","FALSE","TRUE","20"
"2","2018","03/10/2018","1515","1505","1539","1481","5","1","FALSE","TRUE","20"
"3","2018","03/31/2018","1539","1453","1529","1463","3","4","FALSE","TRUE","20"
"4","2018","04/07/2018","1529","1562","1516","1575","0","5","FALSE","TRUE","20"
"5","2018","04/13/2018","1516","1518","1535","1499","2","0","FALSE","TRUE","20"
"6","2018","04/21/2018","1535","1469","1551","1453","5","3","FALSE","TRUE","20"
"7","2018","04/29/2018","1551","1560","1558","1553","1","0","TRUE","FALSE","20"
"8","2018","05/05/2018","1558","1521","1554","1525","1","1","TRUE","FALSE","20"
"9","2018","05/09/2018","1554","1449","1561","1442","2","0","TRUE","FALSE","20"
"10","2018","05/13/2018","1561","1568","1558","1571","2","2","TRUE","FALSE","20"
"11","2018","05/19/2018","1558","1536","1550","1544","1","2","FALSE","TRUE","20"
"12","2018","05/26/2018","1550","1427","1544","1433","1","1","TRUE","FALSE","20"
"13","2018","06/02/2018","1544","1550","1537","1557","1","2","FALSE","TRUE","20"
"14","2018","06/09/2018","1537","1412","1546","1403","4","3","FALSE","TRUE","20"
"15","2018","06/23/2018","1546","1537","1556","1527","2","0","TRUE","FALSE","20"
"16","2018","06/30/2018","1556","1483","1565","1474","4","1","TRUE","FALSE","20"
"17","2018","07/03/2018","1565","1510","1566","1509","2","2","FALSE","TRUE","20"
"18","2018","07/07/2018","1566","1409","1572","1403","4","1","TRUE","FALSE","20"
"19","2018","07/15/2018","1572","1565","1569","1568","0","0","TRUE","FALSE","20"
"20","2018","07/22/2018","1569","1431","1548","1452","1","5","FALSE","TRUE","20"
"21","2018","07/26/2018","1548","1504","1544","1508","2","2","TRUE","FALSE","20"
"22","2018","08/05/2018","1544","1613","1539","1618","1","2","FALSE","TRUE","20"
"23","2018","08/11/2018","1539","1538","1520","1557","0","2","TRUE","FALSE","20"
"24","2018","08/15/2018","1520","1490","1530","1480","2","0","TRUE","FALSE","20"
"25","2018","08/19/2018","1530","1424","1537","1417","2","0","TRUE","FALSE","20"
"26","2018","08/24/2018","1537","1483","1538","1482","1","1","FALSE","TRUE","20"
"27","2018","09/01/2018","1538","1532","1557","1513","4","2","FALSE","TRUE","20"
"28","2018","09/15/2018","1557","1469","1552","1474","1","1","TRUE","FALSE","20"
"29","2018","09/22/2018","1552","1380","1557","1375","2","0","TRUE","FALSE","20"
"30","2018","09/29/2018","1557","1420","1540","1437","1","3","FALSE","TRUE","20"
"31","2018","10/06/2018","1540","1367","1554","1353","3","0","FALSE","TRUE","20"
"32","2018","10/12/2018","1554","1461","1561","1454","4","2","TRUE","FALSE","20"
"33","2018","10/21/2018","1561","1467","1556","1472","2","2","TRUE","FALSE","20"
"34","2018","10/28/2018","1556","1600","1550","1606","1","2","FALSE","TRUE","20"
"35","2018","11/01/2018","1550","1498","1532","1516","2","3","TRUE","FALSE","25"
"36","2019","03/03/2019","1524","1567","1532","1559","2","1","TRUE","FALSE","20"
"37","2019","03/10/2019","1532","1551","1545","1538","4","1","TRUE","FALSE","20"
"38","2019","03/17/2019","1545","1512","1547","1510","2","2","FALSE","TRUE","20"
"39","2019","03/23/2019","1547","1495","1553","1489","2","1","TRUE","FALSE","20"
"40","2019","03/30/2019","1553","1359","1568","1344","5","0","FALSE","TRUE","20"
"41","2019","04/06/2019","1568","1563","1592","1539","4","0","FALSE","TRUE","20"
"42","2019","04/13/2019","1592","1508","1600","1500","2","0","TRUE","FALSE","20"
"43","2019","04/17/2019","1600","1446","1588","1458","0","1","FALSE","TRUE","20"
"44","2019","04/21/2019","1588","1615","1602","1601","4","1","TRUE","FALSE","20"
"45","2019","04/28/2019","1602","1594","1605","1591","1","1","FALSE","TRUE","20"
"46","2019","05/04/2019","1605","1437","1599","1443","0","0","TRUE","FALSE","20"
"47","2019","05/11/2019","1599","1494","1616","1477","3","0","FALSE","TRUE","20"
"48","2019","05/16/2019","1616","1510","1623","1503","2","0","TRUE","FALSE","20"
"49","2019","05/19/2019","1623","1503","1622","1504","1","1","FALSE","TRUE","20"
"50","2019","05/24/2019","1622","1515","1629","1508","4","2","TRUE","FALSE","20"
"51","2019","06/01/2019","1629","1548","1640","1537","3","2","FALSE","TRUE","20"
"52","2019","06/28/2019","1640","1402","1626","1416","0","1","FALSE","TRUE","20"
"53","2019","07/03/2019","1626","1510","1644","1492","5","1","FALSE","TRUE","20"
"54","2019","07/06/2019","1644","1469","1651","1462","6","1","TRUE","FALSE","20"
"55","2019","07/12/2019","1651","1483","1663","1471","3","1","FALSE","TRUE","20"
"56","2019","07/19/2019","1663","1497","1651","1509","2","3","FALSE","TRUE","20"
"57","2019","07/26/2019","1651","1604","1657","1598","4","3","TRUE","FALSE","20"
"58","2019","08/03/2019","1657","1497","1669","1485","2","0","FALSE","TRUE","20"
"59","2019","08/11/2019","1669","1572","1676","1565","4","2","TRUE","FALSE","20"
"60","2019","08/17/2019","1676","1559","1690","1545","2","0","FALSE","TRUE","20"
"61","2019","08/21/2019","1690","1482","1695","1477","4","0","TRUE","FALSE","20"
"62","2019","08/25/2019","1695","1494","1688","1501","3","3","TRUE","FALSE","20"
"63","2019","09/01/2019","1688","1478","1662","1504","0","2","TRUE","FALSE","20"
"64","2019","09/07/2019","1662","1436","1659","1439","2","2","FALSE","TRUE","20"
"65","2019","09/14/2019","1659","1559","1659","1559","1","1","FALSE","TRUE","20"
"66","2019","09/21/2019","1659","1522","1653","1528","1","1","TRUE","FALSE","20"
"67","2019","09/25/2019","1653","1441","1657","1437","3","1","TRUE","FALSE","20"
"68","2019","09/29/2019","1657","1512","1656","1513","1","1","FALSE","TRUE","20"
"69","2019","10/06/2019","1656","1485","1661","1480","3","1","TRUE","FALSE","20"
"70","2019","10/24/2019","1661","1512","1673","1500","5","3","TRUE","FALSE","40"
"71","2019","10/29/2019","1673","1587","1617","1643","1","3","TRUE","FALSE","50"
"72","2020","03/01/2020","1588","1500","1593","1495","1","0","TRUE","FALSE","20"
"73","2020","03/08/2020","1593","1509","1588","1514","3","3","TRUE","FALSE","20"
"74","2020","07/13/2020","1588","1446","1584","1450","3","3","FALSE","FALSE","20"
"75","2020","07/18/2020","1584","1477","1597","1464","6","2","FALSE","FALSE","20"
"76","2020","07/23/2020","1597","1517","1595","1519","2","2","FALSE","FALSE","20"
"77","2020","07/27/2020","1595","1618","1623","1590","4","1","FALSE","FALSE","30"
"78","2020","07/31/2020","1623","1475","1615","1483","1","1","FALSE","FALSE","40"
"79","2020","08/22/2020","1615","1463","1591","1487","0","2","TRUE","FALSE","20"
"80","2020","08/30/2020","1591","1613","1581","1623","1","3","FALSE","TRUE","20"
"81","2020","09/02/2020","1581","1464","1589","1456","5","1","TRUE","FALSE","20"
"82","2020","09/06/2020","1589","1509","1573","1525","0","3","FALSE","TRUE","20"
"83","2020","09/09/2020","1573","1498","1557","1514","0","3","FALSE","TRUE","20"
"84","2020","09/13/2020","1557","1572","1568","1561","4","2","TRUE","FALSE","20"
