"","Year","Date","A_Elo_Before","B_Elo_Before","A_Elo_After","B_Elo_After","A_Score","B_Score","A_Home","B_Home","Weight"
"1","2017","03/03/2017","1500","1516","1487","1529","1","5","FALSE","TRUE","20"
"2","2017","03/12/2017","1487","1488","1461","1514","1","6","TRUE","FALSE","20"
"3","2017","03/18/2017","1461","1497","1465","1493","2","2","FALSE","TRUE","20"
"4","2017","03/25/2017","1465","1472","1453","1484","2","5","FALSE","TRUE","20"
"5","2017","04/01/2017","1453","1461","1464","1450","4","2","TRUE","FALSE","20"
"6","2017","04/08/2017","1464","1581","1457","1588","0","2","FALSE","TRUE","20"
"7","2017","04/15/2017","1457","1481","1460","1478","2","2","FALSE","TRUE","20"
"8","2017","04/23/2017","1460","1470","1467","1463","1","0","TRUE","FALSE","20"
"9","2017","04/29/2017","1467","1461","1454","1474","0","1","TRUE","FALSE","20"
"10","2017","05/07/2017","1454","1556","1469","1541","2","0","TRUE","FALSE","20"
"11","2017","05/13/2017","1469","1617","1465","1621","2","3","FALSE","TRUE","20"
"12","2017","05/21/2017","1465","1516","1454","1527","1","2","TRUE","FALSE","20"
"13","2017","05/27/2017","1454","1483","1462","1475","1","0","TRUE","FALSE","20"
"14","2017","06/03/2017","1462","1532","1452","1542","0","3","FALSE","TRUE","20"
"15","2017","06/17/2017","1452","1419","1444","1427","0","1","FALSE","TRUE","20"
"16","2017","06/21/2017","1444","1523","1453","1514","3","2","TRUE","FALSE","20"
"17","2017","06/24/2017","1453","1495","1451","1497","2","2","TRUE","FALSE","20"
"18","2017","06/29/2017","1451","1546","1444","1553","1","3","FALSE","TRUE","20"
"19","2017","07/04/2017","1444","1475","1432","1487","0","1","TRUE","FALSE","20"
"20","2017","07/19/2017","1432","1491","1431","1492","0","0","TRUE","FALSE","20"
"21","2017","07/22/2017","1431","1521","1413","1539","0","3","TRUE","FALSE","20"
"22","2017","07/29/2017","1413","1405","1426","1392","4","0","TRUE","FALSE","20"
"23","2017","08/05/2017","1426","1565","1409","1582","0","4","TRUE","FALSE","20"
"24","2017","08/20/2017","1409","1588","1406","1591","1","2","FALSE","TRUE","20"
"25","2017","08/26/2017","1406","1508","1421","1493","2","1","FALSE","TRUE","20"
"26","2017","09/09/2017","1421","1452","1419","1454","1","1","TRUE","FALSE","20"
"27","2017","09/13/2017","1419","1538","1411","1546","0","3","FALSE","TRUE","20"
"28","2017","09/16/2017","1411","1503","1426","1488","3","2","FALSE","TRUE","20"
"29","2017","09/23/2017","1426","1510","1443","1493","4","1","TRUE","FALSE","20"
"30","2017","09/30/2017","1443","1491","1437","1497","1","2","FALSE","TRUE","20"
"31","2017","10/03/2017","1437","1583","1453","1567","3","2","FALSE","TRUE","20"
"32","2017","10/07/2017","1453","1547","1453","1547","1","1","TRUE","FALSE","20"
"33","2017","10/15/2017","1453","1423","1439","1437","0","3","FALSE","TRUE","20"
"34","2017","10/22/2017","1439","1440","1432","1447","2","3","FALSE","TRUE","20"
"35","2018","03/03/2018","1449","1450","1442","1457","2","3","FALSE","TRUE","20"
"36","2018","03/10/2018","1442","1442","1455","1429","2","1","FALSE","TRUE","20"
"37","2018","03/17/2018","1455","1475","1463","1467","2","1","TRUE","FALSE","20"
"38","2018","03/24/2018","1463","1558","1454","1567","0","3","FALSE","TRUE","20"
"39","2018","03/31/2018","1454","1552","1444","1562","0","1","TRUE","FALSE","20"
"40","2018","04/14/2018","1444","1495","1438","1501","2","3","FALSE","TRUE","20"
"41","2018","04/22/2018","1438","1553","1431","1560","1","3","FALSE","TRUE","20"
"42","2018","04/28/2018","1431","1501","1440","1492","2","1","TRUE","FALSE","20"
"43","2018","05/05/2018","1440","1497","1449","1488","1","0","TRUE","FALSE","20"
"44","2018","05/09/2018","1449","1554","1442","1561","0","2","FALSE","TRUE","20"
"45","2018","05/12/2018","1442","1422","1422","1442","1","3","TRUE","FALSE","20"
"46","2018","05/20/2018","1422","1566","1423","1565","1","1","TRUE","FALSE","20"
"47","2018","05/26/2018","1423","1420","1434","1409","2","0","TRUE","FALSE","20"
"48","2018","06/03/2018","1434","1562","1427","1569","1","4","FALSE","TRUE","20"
"49","2018","06/23/2018","1427","1397","1419","1405","2","3","FALSE","TRUE","20"
"50","2018","06/29/2018","1419","1552","1410","1561","0","1","TRUE","FALSE","20"
"51","2018","07/04/2018","1410","1543","1421","1532","4","3","TRUE","FALSE","20"
"52","2018","07/07/2018","1421","1509","1412","1518","0","3","FALSE","TRUE","20"
"53","2018","07/14/2018","1412","1503","1422","1493","3","2","TRUE","FALSE","20"
"54","2018","07/18/2018","1422","1500","1431","1491","2","1","TRUE","FALSE","20"
"55","2018","07/22/2018","1431","1569","1452","1548","5","1","TRUE","FALSE","20"
"56","2018","07/28/2018","1452","1460","1442","1470","2","4","FALSE","TRUE","20"
"57","2018","08/04/2018","1442","1560","1433","1569","1","2","TRUE","FALSE","20"
"58","2018","08/11/2018","1433","1503","1438","1498","2","2","FALSE","TRUE","20"
"59","2018","08/18/2018","1438","1544","1431","1551","0","2","FALSE","TRUE","20"
"60","2018","08/25/2018","1431","1569","1425","1575","0","2","FALSE","TRUE","20"
"61","2018","09/12/2018","1425","1479","1419","1485","1","2","FALSE","TRUE","20"
"62","2018","09/15/2018","1419","1528","1424","1523","1","1","FALSE","TRUE","20"
"63","2018","09/22/2018","1424","1531","1434","1521","3","2","TRUE","FALSE","20"
"64","2018","09/29/2018","1434","1557","1445","1546","2","1","TRUE","FALSE","20"
