"","Year","Date","A_Elo_Before","B_Elo_Before","A_Elo_After","B_Elo_After","A_Score","B_Score","A_Home","B_Home","Weight"
"1","2015","03/08/2015","1500","1500","1503","1497","1","1","FALSE","TRUE","20"
"2","2015","03/15/2015","1503","1556","1516","1543","2","0","TRUE","FALSE","20"
"3","2015","03/21/2015","1516","1430","1516","1430","0","0","FALSE","TRUE","20"
"4","2015","03/28/2015","1516","1489","1502","1503","0","1","TRUE","FALSE","20"
"5","2015","04/11/2015","1502","1461","1494","1469","1","2","FALSE","TRUE","20"
"6","2015","04/16/2015","1494","1469","1491","1472","1","1","TRUE","FALSE","20"
"7","2015","04/19/2015","1491","1530","1479","1542","0","1","TRUE","FALSE","20"
"8","2015","04/24/2015","1479","1459","1471","1467","0","1","FALSE","TRUE","20"
"9","2015","05/03/2015","1471","1587","1457","1601","1","3","TRUE","FALSE","20"
"10","2015","05/10/2015","1457","1549","1452","1554","1","2","FALSE","TRUE","20"
"11","2015","05/15/2015","1452","1450","1449","1453","2","2","TRUE","FALSE","20"
"12","2015","05/23/2015","1449","1519","1441","1527","0","2","FALSE","TRUE","20"
"13","2015","05/30/2015","1441","1459","1439","1461","1","1","TRUE","FALSE","20"
"14","2015","06/06/2015","1439","1472","1453","1458","2","1","FALSE","TRUE","20"
"15","2015","06/13/2015","1453","1450","1464","1439","3","1","TRUE","FALSE","20"
"16","2015","06/20/2015","1464","1491","1484","1471","2","0","FALSE","TRUE","20"
"17","2015","06/28/2015","1484","1511","1466","1529","1","3","TRUE","FALSE","20"
"18","2015","07/04/2015","1466","1446","1478","1434","2","1","FALSE","TRUE","20"
"19","2015","07/12/2015","1478","1471","1475","1474","4","4","TRUE","FALSE","20"
"20","2015","07/18/2015","1475","1500","1468","1507","0","1","FALSE","TRUE","20"
"21","2015","07/26/2015","1468","1470","1479","1459","5","3","TRUE","FALSE","20"
"22","2015","08/01/2015","1479","1455","1466","1468","2","3","TRUE","FALSE","20"
"23","2015","08/09/2015","1466","1566","1459","1573","0","2","FALSE","TRUE","20"
"24","2015","08/13/2015","1459","1562","1474","1547","3","1","TRUE","FALSE","20"
"25","2015","08/19/2015","1474","1494","1477","1491","2","2","FALSE","TRUE","20"
"26","2015","08/23/2015","1477","1611","1469","1619","1","5","FALSE","TRUE","20"
"27","2015","08/29/2015","1469","1500","1457","1512","1","2","TRUE","FALSE","20"
"28","2015","09/12/2015","1457","1573","1453","1577","1","2","FALSE","TRUE","20"
"29","2015","09/16/2015","1453","1461","1464","1450","2","0","TRUE","FALSE","20"
"30","2015","09/19/2015","1464","1504","1472","1496","3","2","TRUE","FALSE","20"
"31","2015","09/26/2015","1472","1543","1487","1528","2","1","FALSE","TRUE","20"
"32","2015","10/02/2015","1487","1491","1480","1498","1","2","FALSE","TRUE","20"
"33","2015","10/16/2015","1480","1486","1473","1493","1","2","FALSE","TRUE","20"
"34","2015","10/25/2015","1473","1517","1456","1534","1","3","TRUE","FALSE","20"
"35","2016","03/06/2016","1467","1428","1479","1416","4","3","FALSE","TRUE","20"
"36","2016","03/13/2016","1479","1485","1476","1488","2","2","TRUE","FALSE","20"
"37","2016","03/18/2016","1476","1481","1463","1494","0","1","TRUE","FALSE","20"
"38","2016","03/26/2016","1463","1501","1461","1503","1","1","TRUE","FALSE","20"
"39","2016","04/10/2016","1461","1429","1457","1433","0","0","TRUE","FALSE","20"
"40","2016","04/16/2016","1457","1493","1451","1499","2","3","FALSE","TRUE","20"
"41","2016","04/23/2016","1451","1483","1441","1493","0","2","FALSE","TRUE","20"
"42","2016","04/27/2016","1441","1517","1440","1518","1","1","TRUE","FALSE","20"
"43","2016","04/30/2016","1440","1494","1449","1485","3","2","TRUE","FALSE","20"
"44","2016","05/08/2016","1449","1475","1469","1455","2","0","FALSE","TRUE","20"
"45","2016","05/15/2016","1469","1566","1484","1551","2","1","FALSE","TRUE","20"
"46","2016","05/18/2016","1484","1501","1487","1498","1","1","FALSE","TRUE","20"
"47","2016","05/21/2016","1487","1512","1460","1539","0","7","TRUE","FALSE","20"
"48","2016","05/29/2016","1460","1493","1458","1495","2","2","TRUE","FALSE","20"
"49","2016","06/02/2016","1458","1522","1447","1533","2","3","TRUE","FALSE","20"
"50","2016","06/18/2016","1447","1514","1456","1505","3","2","TRUE","FALSE","20"
"51","2016","06/25/2016","1456","1511","1477","1490","2","0","FALSE","TRUE","20"
"52","2016","07/03/2016","1477","1553","1491","1539","2","0","TRUE","FALSE","20"
"53","2016","07/06/2016","1491","1478","1503","1466","1","0","FALSE","TRUE","20"
"54","2016","07/10/2016","1503","1501","1492","1512","1","3","FALSE","TRUE","20"
"55","2016","07/17/2016","1492","1526","1513","1505","3","1","FALSE","TRUE","20"
"56","2016","07/24/2016","1513","1548","1502","1559","1","4","FALSE","TRUE","20"
"57","2016","07/30/2016","1502","1536","1517","1521","5","1","TRUE","FALSE","20"
"58","2016","08/05/2016","1517","1506","1520","1503","0","0","FALSE","TRUE","20"
"59","2016","08/13/2016","1520","1457","1521","1456","3","3","FALSE","TRUE","20"
"60","2016","08/20/2016","1521","1586","1530","1577","1","0","TRUE","FALSE","20"
"61","2016","08/28/2016","1530","1467","1521","1476","1","2","FALSE","TRUE","20"
"62","2016","09/01/2016","1521","1482","1527","1476","3","2","TRUE","FALSE","20"
"63","2016","09/10/2016","1527","1439","1513","1453","1","3","FALSE","TRUE","20"
"64","2016","09/17/2016","1513","1578","1512","1579","2","2","TRUE","FALSE","20"
"65","2016","09/23/2016","1512","1423","1521","1414","4","1","TRUE","FALSE","20"
"66","2016","09/30/2016","1521","1479","1538","1462","2","0","FALSE","TRUE","20"
"67","2016","10/16/2016","1538","1520","1526","1532","1","3","FALSE","TRUE","20"
"68","2016","10/23/2016","1526","1478","1536","1468","4","1","TRUE","FALSE","20"
"69","2016","10/30/2016","1536","1541","1515","1562","0","2","FALSE","TRUE","40"
"70","2016","11/06/2016","1515","1562","1469","1608","0","5","TRUE","FALSE","40"
"71","2017","03/05/2017","1477","1486","1470","1493","0","1","FALSE","TRUE","20"
"72","2017","03/12/2017","1470","1491","1485","1476","4","0","TRUE","FALSE","20"
"73","2017","03/18/2017","1485","1517","1483","1519","1","1","TRUE","FALSE","20"
"74","2017","04/01/2017","1483","1474","1490","1467","2","1","TRUE","FALSE","20"
"75","2017","04/08/2017","1490","1463","1482","1471","1","2","FALSE","TRUE","20"
"76","2017","04/14/2017","1482","1429","1499","1412","2","0","FALSE","TRUE","20"
"77","2017","04/23/2017","1499","1504","1486","1517","1","2","TRUE","FALSE","20"
"78","2017","04/29/2017","1486","1492","1499","1479","3","2","FALSE","TRUE","20"
"79","2017","05/07/2017","1499","1520","1511","1508","3","1","TRUE","FALSE","20"
"80","2017","05/14/2017","1511","1605","1516","1600","1","1","FALSE","TRUE","20"
"81","2017","05/17/2017","1516","1423","1506","1433","1","2","FALSE","TRUE","20"
"82","2017","05/21/2017","1506","1505","1528","1483","3","0","FALSE","TRUE","20"
"83","2017","05/28/2017","1528","1523","1517","1534","1","3","FALSE","TRUE","20"
"84","2017","05/31/2017","1517","1485","1513","1489","2","2","TRUE","FALSE","20"
"85","2017","06/03/2017","1513","1471","1519","1465","2","1","TRUE","FALSE","20"
"86","2017","06/17/2017","1519","1546","1527","1538","2","1","TRUE","FALSE","20"
"87","2017","06/24/2017","1527","1517","1546","1498","2","0","FALSE","TRUE","20"
"88","2017","06/29/2017","1546","1451","1553","1444","3","1","TRUE","FALSE","20"
"89","2017","07/05/2017","1553","1486","1544","1495","2","3","FALSE","TRUE","20"
"90","2017","07/19/2017","1544","1622","1543","1623","2","2","TRUE","FALSE","20"
"91","2017","07/22/2017","1543","1554","1550","1547","2","1","TRUE","FALSE","20"
"92","2017","07/30/2017","1550","1616","1540","1626","0","4","FALSE","TRUE","20"
"93","2017","08/06/2017","1540","1551","1547","1544","3","2","TRUE","FALSE","20"
"94","2017","08/12/2017","1547","1474","1563","1458","2","0","FALSE","TRUE","20"
"95","2017","08/20/2017","1563","1482","1568","1477","2","1","TRUE","FALSE","20"
"96","2017","08/25/2017","1568","1539","1570","1537","1","1","FALSE","TRUE","20"
"97","2017","09/06/2017","1570","1554","1577","1547","1","0","TRUE","FALSE","20"
"98","2017","09/09/2017","1577","1528","1563","1542","0","1","TRUE","FALSE","20"
"99","2017","09/16/2017","1563","1419","1562","1420","1","1","FALSE","TRUE","20"
"100","2017","09/23/2017","1562","1491","1557","1496","1","1","TRUE","FALSE","20"
"101","2017","09/27/2017","1557","1504","1568","1493","1","0","FALSE","TRUE","20"
"102","2017","09/30/2017","1568","1520","1569","1519","1","1","FALSE","TRUE","20"
"103","2017","10/15/2017","1569","1464","1559","1474","1","2","FALSE","TRUE","20"
"104","2017","10/22/2017","1559","1536","1556","1539","2","2","TRUE","FALSE","20"
"105","2017","10/31/2017","1556","1543","1530","1569","1","4","FALSE","TRUE","40"
"106","2017","11/05/2017","1530","1569","1555","1544","2","0","TRUE","FALSE","40"
"107","2018","03/04/2018","1541","1513","1559","1495","2","0","FALSE","TRUE","20"
"108","2018","03/11/2018","1559","1453","1564","1448","2","1","TRUE","FALSE","20"
"109","2018","03/17/2018","1564","1429","1570","1423","2","0","TRUE","FALSE","20"
"110","2018","03/24/2018","1570","1485","1570","1485","2","2","FALSE","TRUE","20"
"111","2018","03/31/2018","1570","1451","1579","1442","2","1","FALSE","TRUE","20"
"112","2018","04/11/2018","1579","1492","1589","1482","4","0","TRUE","FALSE","20"
"113","2018","04/15/2018","1589","1575","1591","1573","2","2","FALSE","TRUE","20"
"114","2018","04/22/2018","1591","1501","1574","1518","0","3","FALSE","TRUE","20"
"115","2018","04/29/2018","1574","1530","1583","1521","3","1","TRUE","FALSE","20"
"116","2018","05/05/2018","1583","1559","1568","1574","0","4","FALSE","TRUE","20"
"117","2018","05/13/2018","1568","1561","1571","1558","2","2","FALSE","TRUE","20"
