"","Year","Date","A_Elo_Before","B_Elo_Before","A_Elo_After","B_Elo_After","A_Score","B_Score","A_Home","B_Home","Weight"
"1","2015","03/08/2015","1500","1500","1497","1503","1","1","TRUE","FALSE","20"
"2","2015","03/13/2015","1497","1464","1509","1452","1","0","FALSE","TRUE","20"
"3","2015","03/21/2015","1509","1509","1496","1522","0","1","TRUE","FALSE","20"
"4","2015","03/28/2015","1496","1431","1497","1430","2","2","FALSE","TRUE","20"
"5","2015","04/03/2015","1497","1531","1485","1543","0","1","TRUE","FALSE","20"
"6","2015","04/12/2015","1485","1552","1507","1530","2","0","FALSE","TRUE","20"
"7","2015","04/18/2015","1507","1489","1494","1502","0","3","FALSE","TRUE","20"
"8","2015","04/26/2015","1494","1429","1472","1451","0","2","TRUE","FALSE","20"
"9","2015","05/08/2015","1472","1583","1472","1583","2","2","TRUE","FALSE","20"
"10","2015","05/13/2015","1472","1554","1467","1559","1","2","FALSE","TRUE","20"
"11","2015","05/17/2015","1467","1594","1487","1574","4","0","TRUE","FALSE","20"
"12","2015","05/24/2015","1487","1485","1490","1482","1","1","FALSE","TRUE","20"
"13","2015","05/30/2015","1490","1498","1487","1501","2","2","TRUE","FALSE","20"
"14","2015","06/06/2015","1487","1461","1499","1449","3","2","FALSE","TRUE","20"
"15","2015","06/14/2015","1499","1541","1507","1533","1","0","TRUE","FALSE","20"
"16","2015","06/20/2015","1507","1439","1493","1453","0","2","FALSE","TRUE","20"
"17","2015","06/24/2015","1493","1443","1502","1434","2","0","TRUE","FALSE","20"
"18","2015","07/04/2015","1502","1505","1505","1502","1","1","FALSE","TRUE","20"
"19","2015","07/11/2015","1505","1544","1487","1562","0","2","TRUE","FALSE","20"
"20","2015","07/18/2015","1487","1533","1470","1550","0","2","TRUE","FALSE","20"
"21","2015","07/26/2015","1470","1468","1459","1479","3","5","FALSE","TRUE","20"
"22","2015","08/01/2015","1459","1496","1473","1482","5","2","TRUE","FALSE","20"
"23","2015","08/05/2015","1473","1474","1460","1487","1","4","FALSE","TRUE","20"
"24","2015","08/08/2015","1460","1448","1457","1451","0","0","TRUE","FALSE","20"
"25","2015","08/16/2015","1457","1505","1446","1516","0","4","FALSE","TRUE","20"
"26","2015","08/22/2015","1446","1463","1432","1477","0","5","FALSE","TRUE","20"
"27","2015","08/29/2015","1432","1438","1429","1441","1","1","TRUE","FALSE","20"
"28","2015","09/05/2015","1429","1539","1421","1547","0","3","FALSE","TRUE","20"
"29","2015","09/13/2015","1421","1533","1437","1517","3","1","TRUE","FALSE","20"
"30","2015","09/19/2015","1437","1430","1450","1417","1","0","FALSE","TRUE","20"
"31","2015","09/25/2015","1450","1594","1478","1566","5","2","FALSE","TRUE","20"
"32","2015","10/03/2015","1478","1492","1486","1484","2","1","TRUE","FALSE","20"
"33","2015","10/16/2015","1486","1480","1493","1473","2","1","TRUE","FALSE","20"
"34","2015","10/25/2015","1493","1451","1485","1459","0","1","FALSE","TRUE","20"
"35","2016","03/06/2016","1489","1492","1486","1495","2","2","TRUE","FALSE","20"
"36","2016","03/11/2016","1486","1416","1481","1421","1","1","TRUE","FALSE","20"
"37","2016","03/18/2016","1481","1476","1494","1463","1","0","FALSE","TRUE","20"
"38","2016","04/03/2016","1494","1604","1512","1586","4","1","TRUE","FALSE","20"
"39","2016","04/08/2016","1512","1481","1504","1489","1","2","FALSE","TRUE","20"
"40","2016","04/17/2016","1504","1507","1501","1510","2","2","TRUE","FALSE","20"
"41","2016","04/24/2016","1501","1494","1494","1501","2","3","FALSE","TRUE","20"
"42","2016","04/30/2016","1494","1494","1497","1491","2","2","FALSE","TRUE","20"
"43","2016","05/06/2016","1497","1518","1495","1520","1","1","TRUE","FALSE","20"
"44","2016","05/15/2016","1495","1495","1488","1502","1","2","FALSE","TRUE","20"
"45","2016","05/21/2016","1488","1514","1496","1506","2","1","TRUE","FALSE","20"
"46","2016","05/25/2016","1496","1501","1493","1504","2","2","TRUE","FALSE","20"
"47","2016","05/29/2016","1493","1460","1495","1458","2","2","FALSE","TRUE","20"
"48","2016","06/18/2016","1495","1516","1493","1518","2","2","TRUE","FALSE","20"
"49","2016","06/25/2016","1493","1494","1500","1487","3","2","TRUE","FALSE","20"
"50","2016","07/04/2016","1500","1564","1489","1575","0","4","FALSE","TRUE","20"
"51","2016","07/08/2016","1489","1458","1485","1462","0","0","TRUE","FALSE","20"
"52","2016","07/13/2016","1485","1537","1476","1546","0","2","FALSE","TRUE","20"
"53","2016","07/16/2016","1476","1501","1479","1498","2","2","FALSE","TRUE","20"
"54","2016","07/23/2016","1479","1471","1482","1468","2","2","FALSE","TRUE","20"
"55","2016","07/31/2016","1482","1487","1493","1476","3","1","TRUE","FALSE","20"
"56","2016","08/07/2016","1493","1481","1473","1501","1","3","TRUE","FALSE","20"
"57","2016","08/14/2016","1473","1402","1474","1401","2","2","FALSE","TRUE","20"
"58","2016","08/20/2016","1474","1535","1478","1531","0","0","FALSE","TRUE","20"
"59","2016","08/24/2016","1478","1544","1467","1555","1","2","TRUE","FALSE","20"
"60","2016","08/28/2016","1467","1530","1476","1521","2","1","TRUE","FALSE","20"
"61","2016","09/07/2016","1476","1501","1500","1477","4","1","FALSE","TRUE","20"
"62","2016","09/11/2016","1500","1576","1492","1584","2","4","FALSE","TRUE","20"
"63","2016","09/17/2016","1492","1449","1468","1473","1","4","TRUE","FALSE","20"
"64","2016","09/24/2016","1468","1482","1456","1494","1","4","FALSE","TRUE","20"
"65","2016","09/28/2016","1456","1544","1461","1539","0","0","FALSE","TRUE","20"
"66","2016","10/02/2016","1461","1468","1448","1481","0","1","TRUE","FALSE","20"
"67","2016","10/16/2016","1448","1479","1468","1459","2","0","FALSE","TRUE","20"
