"","Year","Date","A_Elo_Before","B_Elo_Before","A_Elo_After","B_Elo_After","A_Score","B_Score","A_Home","B_Home","Weight"
"1",2011,"03/19/2011",1500,1570,1492,1578,1,3,FALSE,TRUE,20
"2",2011,"03/26/2011",1492,1450,1479,1463,0,2,FALSE,TRUE,20
"3",2011,"04/02/2011",1479,1462,1481,1460,1,1,FALSE,TRUE,20
"4",2011,"04/14/2011",1481,1504,1493,1492,4,2,TRUE,FALSE,20
"5",2011,"04/17/2011",1493,1563,1502,1554,3,2,TRUE,FALSE,20
"6",2011,"04/23/2011",1502,1559,1492,1569,0,3,FALSE,TRUE,20
"7",2011,"04/30/2011",1492,1616,1503,1605,1,0,TRUE,FALSE,20
"8",2011,"05/06/2011",1503,1485,1510,1478,1,0,TRUE,FALSE,20
"9",2011,"05/14/2011",1510,1520,1513,1517,1,1,FALSE,TRUE,20
"10",2011,"05/21/2011",1513,1515,1520,1508,1,0,TRUE,FALSE,20
"11",2011,"05/29/2011",1520,1421,1505,1436,2,3,TRUE,FALSE,20
"12",2011,"06/04/2011",1505,1451,1496,1460,0,1,FALSE,TRUE,20
"13",2011,"06/11/2011",1496,1548,1485,1559,0,1,TRUE,FALSE,20
"14",2011,"06/19/2011",1485,1537,1484,1538,3,3,TRUE,FALSE,20
"15",2011,"06/25/2011",1484,1577,1475,1586,0,4,FALSE,TRUE,20
"16",2011,"07/02/2011",1475,1513,1463,1525,1,2,TRUE,FALSE,20
"17",2011,"07/10/2011",1463,1552,1453,1562,2,3,TRUE,FALSE,20
"18",2011,"07/16/2011",1453,1483,1467,1469,1,0,FALSE,TRUE,20
"19",2011,"07/23/2011",1467,1527,1461,1533,0,1,FALSE,TRUE,20
"20",2011,"07/30/2011",1461,1387,1456,1392,2,2,TRUE,FALSE,20
"21",2011,"08/03/2011",1456,1620,1477,1599,3,0,TRUE,FALSE,20
"22",2011,"08/06/2011",1477,1464,1479,1462,1,1,FALSE,TRUE,20
"23",2011,"08/14/2011",1479,1479,1472,1486,1,2,FALSE,TRUE,20
"24",2011,"08/17/2011",1472,1521,1463,1530,1,3,FALSE,TRUE,20
"25",2011,"08/20/2011",1463,1422,1469,1416,2,1,TRUE,FALSE,20
"26",2011,"08/24/2011",1469,1486,1477,1478,1,0,TRUE,FALSE,20
"27",2011,"09/10/2011",1477,1488,1480,1485,0,0,FALSE,TRUE,20
"28",2011,"09/16/2011",1480,1433,1491,1422,3,0,TRUE,FALSE,20
"29",2011,"09/21/2011",1491,1453,1487,1457,1,1,TRUE,FALSE,20
"30",2011,"09/24/2011",1487,1492,1476,1503,0,2,FALSE,TRUE,20
"31",2011,"10/02/2011",1476,1411,1487,1400,1,0,FALSE,TRUE,20
"32",2011,"10/14/2011",1487,1498,1468,1517,0,2,TRUE,FALSE,20
"33",2011,"10/19/2011",1468,1456,1470,1454,1,1,FALSE,TRUE,20
"34",2011,"10/22/2011",1470,1538,1474,1534,1,1,FALSE,TRUE,20
"35",2012,"03/12/2012",1480,1484,1491,1473,3,1,TRUE,FALSE,20
"36",2012,"03/17/2012",1491,1512,1494,1509,1,1,FALSE,TRUE,20
"37",2012,"03/24/2012",1494,1401,1484,1411,0,1,FALSE,TRUE,20
"38",2012,"03/31/2012",1484,1536,1473,1547,2,3,TRUE,FALSE,20
"39",2012,"04/07/2012",1473,1437,1459,1451,1,2,TRUE,FALSE,20
"40",2012,"04/14/2012",1459,1582,1452,1589,1,3,FALSE,TRUE,20
"41",2012,"04/21/2012",1452,1601,1463,1590,1,0,TRUE,FALSE,20
