"","Year","Date","A_Elo_Before","B_Elo_Before","A_Elo_After","B_Elo_After","A_Score","B_Score","A_Home","B_Home","Weight"
"1",2011,"03/19/2011",1500,1459,1509,1450,4,2,TRUE,FALSE,20
"2",2011,"03/26/2011",1509,1469,1501,1477,0,1,FALSE,TRUE,20
"3",2011,"04/02/2011",1501,1500,1498,1503,3,3,TRUE,FALSE,20
"4",2011,"04/06/2011",1498,1460,1494,1464,1,1,TRUE,FALSE,20
"5",2011,"04/10/2011",1494,1473,1482,1485,1,3,FALSE,TRUE,20
"6",2011,"04/16/2011",1482,1418,1478,1422,0,0,TRUE,FALSE,20
"7",2011,"04/23/2011",1478,1554,1467,1565,1,2,TRUE,FALSE,20
"8",2011,"04/30/2011",1467,1527,1461,1533,1,2,FALSE,TRUE,20
"9",2011,"05/07/2011",1461,1483,1464,1480,0,0,FALSE,TRUE,20
"10",2011,"05/11/2011",1464,1468,1461,1471,1,1,TRUE,FALSE,20
"11",2011,"05/14/2011",1461,1441,1453,1449,0,1,FALSE,TRUE,20
"12",2011,"05/28/2011",1453,1536,1453,1536,1,1,TRUE,FALSE,20
"13",2011,"06/01/2011",1453,1454,1456,1451,1,1,FALSE,TRUE,20
"14",2011,"06/04/2011",1456,1590,1450,1596,0,2,FALSE,TRUE,20
"15",2011,"06/11/2011",1450,1528,1455,1523,2,2,FALSE,TRUE,20
"16",2011,"06/18/2011",1455,1503,1464,1494,1,0,TRUE,FALSE,20
"17",2011,"06/25/2011",1464,1507,1458,1513,1,2,FALSE,TRUE,20
"18",2011,"06/29/2011",1458,1410,1449,1419,0,1,FALSE,TRUE,20
"19",2011,"07/06/2011",1449,1526,1438,1537,0,1,TRUE,FALSE,20
"20",2011,"07/09/2011",1438,1527,1433,1532,1,2,FALSE,TRUE,20
"21",2011,"07/20/2011",1433,1498,1437,1494,2,2,FALSE,TRUE,20
"22",2011,"07/30/2011",1437,1605,1422,1620,0,4,TRUE,FALSE,20
"23",2011,"08/07/2011",1422,1467,1435,1454,4,2,TRUE,FALSE,20
"24",2011,"08/13/2011",1435,1452,1422,1465,0,4,FALSE,TRUE,20
"25",2011,"08/20/2011",1422,1463,1416,1469,1,2,FALSE,TRUE,20
"26",2011,"08/27/2011",1416,1496,1425,1487,1,0,TRUE,FALSE,20
"27",2011,"09/10/2011",1425,1498,1430,1493,1,1,FALSE,TRUE,20
"28",2011,"09/17/2011",1430,1620,1424,1626,0,3,FALSE,TRUE,20
"29",2011,"09/24/2011",1424,1582,1411,1595,1,3,TRUE,FALSE,20
"30",2011,"10/02/2011",1411,1476,1400,1487,0,1,TRUE,FALSE,20
"31",2011,"10/06/2011",1400,1555,1420,1535,3,0,TRUE,FALSE,20
"32",2011,"10/12/2011",1420,1477,1429,1468,2,1,TRUE,FALSE,20
"33",2011,"10/15/2011",1429,1539,1422,1546,0,2,FALSE,TRUE,20
"34",2011,"10/22/2011",1422,1529,1412,1539,1,2,TRUE,FALSE,20
"35",2012,"03/10/2012",1434,1500,1448,1486,2,0,TRUE,FALSE,20
"36",2012,"03/17/2012",1448,1443,1461,1430,1,0,FALSE,TRUE,20
"37",2012,"03/24/2012",1461,1442,1458,1445,0,0,TRUE,FALSE,20
