"","Date","Home","Away","Final","Home_Score","Away_Score","Home_Chance","Away_Chance","Tie"
"1","2021-04-16","Houston","San Jose","True",2,1,0.443,0.327,0.23
"2","2021-04-16","Seattle","Minnesota","True",4,0,0.582,0.19,0.229
"3","2021-04-17","CF Montréal","Toronto FC","False",0,0,0.323,0.445,0.233
"4","2021-04-17","Orlando City","Atlanta","False",0,0,0.448,0.335,0.217
"5","2021-04-17","Los Angeles FC","Austin FC","False",0,0,0.658,0.159,0.184
"6","2021-04-17","FC Dallas","Colorado","False",0,0,0.514,0.271,0.215
"7","2021-04-17","NY Red Bulls","Sporting KC","False",0,0,0.415,0.35,0.235
"8","2021-04-17","D.C. United","NYCFC","False",0,0,0.311,0.434,0.255
"9","2021-04-17","Chicago","New England","False",0,0,0.409,0.313,0.278
"10","2021-04-17","Nashville","FC Cincinnati","False",0,0,0.676,0.123,0.201
"11","2021-04-18","Miami","LA Galaxy","False",0,0,0.389,0.383,0.228
"12","2021-04-18","Columbus","Philadelphia","False",0,0,0.52,0.25,0.23
"13","2021-04-18","Vancouver","Portland","False",0,0,0.24,0.521,0.239
"14","2021-04-23","Sporting KC","Orlando City","False",0,0,0.483,0.271,0.246
"15","2021-04-24","NYCFC","FC Cincinnati","False",0,0,0.771,0.078,0.151
"16","2021-04-24","Nashville","CF Montréal","False",0,0,0.49,0.288,0.222
"17","2021-04-24","Toronto FC","Vancouver","False",0,0,0.667,0.144,0.189
"18","2021-04-24","San Jose","FC Dallas","False",0,0,0.434,0.306,0.26
"19","2021-04-24","Los Angeles FC","Seattle","False",0,0,0.489,0.269,0.242
"20","2021-04-24","Minnesota","Real Salt Lake","False",0,0,0.553,0.235,0.211
"21","2021-04-24","New England","D.C. United","False",0,0,0.538,0.222,0.24
"22","2021-04-24","Philadelphia","Miami","False",0,0,0.685,0.114,0.201
"23","2021-04-24","Atlanta","Chicago","False",0,0,0.486,0.275,0.24
"24","2021-04-24","Colorado","Austin FC","False",0,0,0.543,0.225,0.232
"25","2021-04-24","Portland","Houston","False",0,0,0.594,0.227,0.178
"26","2021-04-25","LA Galaxy","NY Red Bulls","False",0,0,0.354,0.404,0.242
"27","2021-05-01","NY Red Bulls","Chicago","False",0,0,0.465,0.279,0.256
"28","2021-05-01","Real Salt Lake","Sporting KC","False",0,0,0.377,0.389,0.234
"29","2021-05-01","CF Montréal","Columbus","False",0,0,0.325,0.438,0.236
"30","2021-05-01","Houston","Los Angeles FC","False",0,0,0.285,0.513,0.203
"31","2021-05-01","New England","Atlanta","False",0,0,0.476,0.311,0.213
"32","2021-05-01","Orlando City","FC Cincinnati","False",0,0,0.743,0.092,0.165
"33","2021-05-01","Philadelphia","NYCFC","False",0,0,0.491,0.259,0.25
"34","2021-05-01","FC Dallas","Portland","False",0,0,0.347,0.396,0.257
"35","2021-05-01","Minnesota","Austin FC","False",0,0,0.582,0.2,0.218
"36","2021-05-01","San Jose","D.C. United","False",0,0,0.486,0.268,0.246
"37","2021-05-02","Nashville","Miami","False",0,0,0.565,0.176,0.259
"38","2021-05-02","Seattle","LA Galaxy","False",0,0,0.542,0.259,0.2
"39","2021-05-02","Vancouver","Colorado","False",0,0,0.414,0.376,0.209
"40","2021-05-07","Real Salt Lake","San Jose","False",0,0,0.438,0.336,0.226
"41","2021-05-08","Chicago","Philadelphia","False",0,0,0.357,0.41,0.233
"42","2021-05-08","NY Red Bulls","Toronto FC","False",0,0,0.424,0.318,0.258
"43","2021-05-08","Nashville","New England","False",0,0,0.432,0.272,0.297
"44","2021-05-08","Columbus","D.C. United","False",0,0,0.569,0.2,0.231
"45","2021-05-08","Vancouver","CF Montréal","False",0,0,0.462,0.309,0.228
"46","2021-05-08","FC Dallas","Houston","False",0,0,0.531,0.271,0.199
"47","2021-05-08","Orlando City","NYCFC","False",0,0,0.382,0.362,0.256
"48","2021-05-08","LA Galaxy","Los Angeles FC","False",0,0,0.307,0.485,0.208
"49","2021-05-08","Colorado","Minnesota","False",0,0,0.444,0.301,0.255
"50","2021-05-09","Miami","Atlanta","False",0,0,0.312,0.469,0.219
"51","2021-05-09","Portland","Seattle","False",0,0,0.466,0.282,0.252
"52","2021-05-09","Sporting KC","Austin FC","False",0,0,0.534,0.24,0.226
"53","2021-05-12","Miami","CF Montréal","False",0,0,0.434,0.334,0.232
"54","2021-05-12","Toronto FC","Columbus","False",0,0,0.432,0.29,0.278
"55","2021-05-12","Philadelphia","New England","False",0,0,0.552,0.187,0.261
"56","2021-05-12","Houston","Sporting KC","False",0,0,0.372,0.4,0.228
"57","2021-05-12","Minnesota","Vancouver","False",0,0,0.64,0.16,0.2
"58","2021-05-12","San Jose","Seattle","False",0,0,0.303,0.459,0.238
"59","2021-05-13","D.C. United","Chicago","False",0,0,0.391,0.353,0.256
"60","2021-05-15","NYCFC","Toronto FC","False",0,0,0.516,0.236,0.248
"61","2021-05-15","LA Galaxy","Austin FC","False",0,0,0.457,0.309,0.234
"62","2021-05-15","Atlanta","CF Montréal","False",0,0,0.506,0.273,0.221
"63","2021-05-15","Philadelphia","NY Red Bulls","False",0,0,0.442,0.341,0.217
"64","2021-05-15","Minnesota","FC Dallas","False",0,0,0.52,0.213,0.267
"65","2021-05-15","Colorado","Houston","False",0,0,0.537,0.267,0.196
"66","2021-05-15","Real Salt Lake","Nashville","False",0,0,0.35,0.337,0.314
"67","2021-05-15","San Jose","Portland","False",0,0,0.333,0.43,0.237
