"","Alt_Names","Elo","Conference","Avg_Points","Avg_Goal_Diff","Make_Playoffs","First_Round_Bye","Win_Shield","Make_Semis","Make_Champ","Make_Cup","Win_Cup"
"1","Colorado",1506,"W",47,-1,0.553,0.034,0.015,0.281,0.119,0.052,0.039
"2","Columbus",1605,"E",55,12,0.757,0.151,0.073,0.478,0.261,0.14,0.03
"3","D.C. United",1438,"E",42,-8,0.246,0.009,0.002,0.098,0.035,0.013,0.002
"4","FC Dallas",1510,"W",47,1,0.559,0.025,0.009,0.278,0.117,0.052,0.039
"5","Sporting KC",1475,"W",49,2,0.632,0.041,0.016,0.325,0.139,0.06,0.047
"6","LA Galaxy",1441,"W",45,-5,0.472,0.021,0.008,0.202,0.074,0.032,0.023
"7","New England",1550,"E",48,3,0.513,0.045,0.017,0.27,0.126,0.061,0.009
"8","NY Red Bulls",1501,"E",54,10,0.721,0.114,0.05,0.394,0.173,0.075,0.016
"9","San Jose",1478,"W",41,-8,0.337,0.009,0.002,0.15,0.055,0.024,0.017
"10","Chicago",1471,"E",45,-3,0.37,0.02,0.006,0.164,0.067,0.03,0.003
"11","Real Salt Lake",1448,"W",41,-11,0.331,0.009,0.004,0.133,0.046,0.019,0.013
"12","Houston",1450,"W",43,-7,0.395,0.012,0.004,0.164,0.062,0.026,0.02
"13","Toronto FC",1539,"E",56,15,0.811,0.167,0.076,0.543,0.301,0.157,0.027
"14","Seattle",1594,"W",56,17,0.855,0.154,0.084,0.592,0.346,0.187,0.16
"15","Philadelphia",1564,"E",56,14,0.804,0.17,0.08,0.543,0.312,0.17,0.031
"16","Vancouver",1443,"W",34,-22,0.118,0.001,0,0.041,0.012,0.005,0.003
"17","Portland",1570,"W",57,16,0.872,0.18,0.103,0.581,0.319,0.161,0.136
"18","CF Montréal",1432,"E",42,-9,0.279,0.013,0.004,0.113,0.04,0.015,0.002
"19","Orlando City",1514,"E",48,3,0.521,0.038,0.013,0.266,0.116,0.051,0.006
"20","NYCFC",1563,"E",56,14,0.81,0.162,0.078,0.548,0.314,0.173,0.03
"21","Minnesota",1540,"W",49,5,0.645,0.044,0.02,0.361,0.171,0.082,0.066
"22","Atlanta",1479,"E",53,8,0.694,0.093,0.039,0.383,0.181,0.082,0.014
"23","Los Angeles FC",1544,"W",64,28,0.971,0.463,0.289,0.781,0.497,0.282,0.251
"24","FC Cincinnati",1380,"E",21,-42,0.002,0,0,0,0,0,0
"25","Miami",1459,"E",35,-17,0.086,0.002,0,0.029,0.01,0.004,0
"26","Nashville",1522,"E",45,0,0.387,0.015,0.005,0.171,0.064,0.028,0.003
"27","Austin FC",1500,"W",39,-13,0.261,0.007,0.002,0.112,0.042,0.018,0.013
